DateTime,Entries,UniqueIPs
1500912986,3063,3078
1500913701,3061,3076
1500914423,3060,3075
1500915403,3057,3072
1500918021,3056,3071
1500918754,3055,3070
1500919358,3056,3071
1500920210,3055,3070
1500923314,3054,3069
1500924030,3057,3072
1500925459,3055,3070
1500928096,3054,3069
1500929529,3055,3070
1500930278,3054,3069
1500930974,3052,3067
1500931704,3052,3067
1500933873,3051,3066
1500934605,3049,3064
1500935558,3046,3061
1500938649,3047,3062
1500939384,3046,3061
1500940357,3045,3060
1500941313,3044,3059
1500942021,3043,3058
1500944167,3043,3058
1500944913,3042,3057
1500947047,3041,3056
1500947785,3040,3055
1500948488,3038,3053
1500950661,3040,3055
1500951379,3038,3053
1500952105,3037,3052
1500952824,3036,3051
1500953532,3035,3050
1500954985,3034,3049
1500955690,3033,3048
1500957862,3031,3046
1500958601,3030,3045
1500960048,3028,3043
1500960740,3027,3042
1500962178,3026,3041
1500963625,3023,3038
1500964359,3023,3038
1500966761,3021,3036
1500967446,3019,3034
1500968191,3017,3032
1500968890,3014,3029
1500969697,3014,3029
1500971061,3015,3030
1500971778,3079,3095
1500972520,3083,3099
1500973291,3084,3100
1500973934,3083,3099
1500974661,3134,3150
1500975385,3186,3203
1500976111,3188,3205
1500976865,3187,3204
1500977554,3186,3203
1500978248,3185,3202
1500978993,3269,3286
1500979700,3296,3313
1500980518,3297,3314
1500981863,3305,3322
1500982578,3334,3351
1500983318,3351,3368
1500984086,3362,3379
1500984760,3371,3388
1500985449,3431,3448
1500986250,3449,3467
1500987166,3458,3476
1500988118,3463,3481
1500988824,3492,3510
1500989542,3544,3562
1500990261,3568,3586
1500991283,3606,3625
1500992214,3622,3641
1500992888,3647,3666
1500993638,3657,3676
1500994342,3667,3686
1500995081,3674,3694
1500996053,3707,3727
1500996735,3709,3729
1500997459,3722,3744
1500998181,3734,3756
1500998929,3747,3769
1500999870,3773,3795
1501000579,3819,3841
1501001313,3828,3851
1501002112,3829,3852
1501002805,3829,3852
1501003723,3852,3875
1501004681,3852,3875
1501005368,3870,3893
1501006212,3890,3914
1501007069,3902,3926
1501008035,3976,4002
1501008740,3790,3811
1501009728,3795,3816
1501010417,3815,3836
1501011158,3816,3837
1501012116,3834,3855
1501012892,3862,3884
1501014256,3898,3921
1501014993,3897,3920
1501015964,3905,3928
1501016922,3918,3941
1501017612,3931,3954
1501018347,3942,3965
1501019328,3946,3969
1501020094,3970,3994
1501020756,3976,4000
1501021718,3982,4006
1501022411,3997,4021
1501023700,4004,4029
1501024330,4008,4033
1501025066,4010,4035
1501025787,4037,4063
1501026506,4040,4066
1501027294,4052,4078
1501027958,4066,4093
1501028648,4076,4103
1501029375,4080,4107
1501030111,4104,4131
1501030866,4114,4141
1501031557,4124,4152
1501032252,4142,4170
1501032982,4152,4181
1501033962,4164,4193
1501034914,4176,4205
1501035624,4184,4213
1501036350,4206,4235
1501037062,4220,4249
1501038160,4229,4258
1501039006,4251,4280
1501039687,4253,4282
1501040426,4255,4285
1501041135,4275,4306
1501041875,4275,4306
1501042852,4280,4311
1501043531,4280,4311
1501044263,4288,4319
1501044986,4297,4328
1501045704,4304,4335
1501046431,4303,4334
1501047136,4296,4327
1501047853,4292,4323
1501048598,4288,4318
1501049558,4287,4317
1501050513,4284,4313
1501052904,4283,4312
1501054347,4281,4310
1501056524,4277,4306
1501057225,4270,4299
1501057943,4265,4294
1501060109,4263,4292
1501060821,4260,4289
1501062989,4259,4288
1501063697,4257,4286
1501064460,4256,4285
1501065408,4255,4284
1501066093,4254,4283
1501066882,4253,4282
1501068970,4251,4280
1501069704,4249,4278
1501070515,4248,4277
1501072569,4247,4276
1501074081,4246,4275
1501075455,3874,3900
1501079557,3872,3898
1501080248,3871,3897
1501082421,3868,3894
1501085539,3866,3892
1501086253,3864,3890
1501087699,3862,3888
1501088500,3861,3887
1501090569,3858,3884
1501092144,3855,3881
1501093011,3853,3879
1501093689,3851,3877
1501094433,3850,3876
1501095136,3846,3872
1501095880,3839,3865
1501096574,3833,3859
1501097303,3832,3858
1501098021,3831,3857
1501098748,3825,3851
1501099465,3819,3845
1501100913,3810,3836
1501102348,3802,3828
1501103813,3794,3820
1501104764,3788,3814
1501106189,3781,3807
1501107709,3772,3798
1501108601,3768,3794
1501110157,3765,3791
1501111001,3755,3779
1501111695,3753,3777
1501113133,3751,3775
1501113873,3746,3770
1501115299,3745,3769
1501116017,3741,3765
1501116736,3739,3763
1501117475,3735,3759
1501118440,3733,3757
1501119140,3732,3756
1501120573,3730,3754
1501122022,3729,3753
1501122997,3723,3747
1501124553,3715,3739
1501125413,3712,3736
1501126365,3710,3734
1501127324,3706,3730
1501128298,3703,3727
1501128980,3702,3726
1501129709,3697,3721
1501130664,3693,3717
1501131374,3690,3714
1501132104,3684,3708
1501132824,3675,3699
1501134253,3674,3698
1501134996,3673,3697
1501135957,3665,3689
1501136647,3663,3687
1501137391,3660,3684
1501138099,3659,3683
1501138843,3658,3682
1501139822,3657,3681
1501140495,3655,3679
1501141225,3654,3678
1501141927,3653,3677
1501142670,3648,3672
1501143646,3646,3670
1501144598,3642,3666
1501145570,3635,3659
1501147220,3633,3657
1501148665,3632,3656
1501150089,3630,3654
1501150834,3629,3653
1501151548,3624,3648
1501152253,3623,3647
1501154453,3622,3646
1501155142,3621,3645
1501155862,3619,3643
1501156576,3617,3641
1501157328,3616,3640
1501158285,3614,3638
1501159706,3611,3635
1501161160,3608,3632
1501162590,3604,3628
1501165021,3602,3626
1501166670,3601,3625
1501168120,3600,3624
1501169084,3599,3623
1501169777,3596,3620
1501171965,3591,3615
1501173871,3588,3612
1501174908,3586,3610
1501175808,3585,3609
1501176762,3582,3606
1501177452,3580,3603
1501179020,3578,3601
1501180357,3576,3599
1501181788,3575,3598
1501184677,3573,3596
1501186118,3569,3592
1501186825,3568,3591
1501188250,3567,3590
1501189689,3566,3589
1501190443,3565,3588
1501191140,3564,3587
1501191862,3563,3586
1501193302,3562,3585
1501194076,3561,3584
1501194819,3560,3583
1501198359,3555,3578
1501199790,3554,3577
1501200759,3552,3575
1501202901,3550,3573
1501203655,3549,3572
1501204845,3548,3571
1501212249,3547,3570
1501215874,3546,3569
1501218272,3545,3568
1501218976,3541,3564
1501219715,3540,3563
1501222108,3539,3562
1501224247,3538,3561
1501224988,3536,3559
1501226651,3534,3557
1501228889,3532,3555
1501230268,3530,3553
1501230977,3528,3551
1501232490,3526,3549
1501233147,3525,3548
1501234588,3524,3547
1501236122,3523,3546
1501240340,3522,3545
1501242514,3520,3543
1501246338,3519,3542
1501247084,3518,3541
1501248039,3517,3540
1501248744,3515,3538
1501250168,3514,3537
1501252340,3513,3536
1501254100,3512,3535
1501255015,3511,3534
1501256435,3510,3533
1501257137,3508,3531
1501260261,3507,3530
1501262421,3506,3529
1501268897,3505,3528
1501270341,3504,3527
1501271051,3503,3526
1501271795,3502,3525
1501273707,3501,3524
1501275377,3500,3523
1501276811,3498,3521
1501277560,3497,3520
1501278250,3495,3518
1501280374,3491,3514
1501281142,3490,3513
1501283809,3489,3512
1501284496,3488,3511
1501285226,3487,3510
1501285929,3486,3509
1501287642,3485,3508
1501289780,3484,3507
1501292437,3483,3506
1501294831,3482,3505
1501297356,3481,3504
1501299159,3479,3502
1501302744,3478,3501
1501306351,3476,3499
1501307060,3475,3498
1501309688,3474,3497
1501310435,3473,3496
1501311137,3472,3495
1501311869,3471,3494
1501312846,3470,3493
1501314969,3469,3492
1501315728,3468,3491
1501320789,3467,3490
1501322898,3466,3489
1501325780,3465,3488
1501327236,3463,3486
1501328202,3462,3485
1501329754,3463,3486
